Ch1 Amplitude,Ch2 Amplitude
2179.89136,6636.68457
2342.11938,6761.911
2370.62354,1574.81409
2375.02539,1654.50171
2377.261,1666.83618
2378.06836,1501.18713
2385.73486,1585.32727
2393.7478,1557.35974
2399.11816,1601.28333
2402.75,6951.07666
2403.51953,6723.098
2407.47827,1660.88416
2419.73657,1530.5885
2423.65869,1583.27942
2429.29346,7425.501
2433.90771,1660.44531
2438.962,6857.787
2443.38135,7310.16357
2443.427,1630.28113
2443.474,7048.18359
2444.731,1574.31714
2446.6,7312.547
2449.67847,7280.88672
2451.26831,1723.1333
2459.57764,1646.06348
2459.63232,6915.426
2460.79858,1623.63416
2462.09155,1553.15942
2462.596,1626.90625
2467.1145,1541.78906
2467.541,1536.70129
2467.78442,7553.56348
2469.04,1720.30774
2470.9502,1628.17444
2473.03247,1643.59143
2473.66943,1666.2262
2473.76855,1740.66333
2476.45215,1587.10522
2477.54248,1592.40344
2479.44458,7268.12158
2479.65161,1614.99573
2481.406,6350.45654
2483.3208,1704.82532
2486.82,7398.998
2488.68115,1742.85376
2488.795,6739.17969
2489.24,7150.77051
2490.422,7067.548
2491.271,7492.523
2492.47729,1666.72327
2494.24634,1590.40857
2495.959,1732.78149
2497.497,7840.603
2497.81763,1619.99048
2500.02026,1596.03027
2501.19946,7517.7417
2501.99146,1613.4574
2502.45483,7366.272
2503.002,1679.82458
2503.81836,7394.26074
2503.84619,7351.239
2505.37744,7501.50049
2506.639,1731.62817
2506.79663,7564.54736
2506.91528,1791.62317
2507.223,7155.729
2507.706,1627.98755
2509.00317,7635.241
2509.31763,1712.8512
2509.98682,7431.48438
2511.42847,1734.9353
2515.47632,7700.577
2516.01831,7338.016
2518.6272,1659.10913
2519.02319,7519.1626
2519.1665,1589.01392
2519.43945,7582.454
2520.381,7420.39551
2520.764,1549.76685
2521.0896,7064.349
2521.717,1544.22876
2522.03931,7535.76563
2522.14063,7577.91553
2522.21875,7405.10645
2522.38379,7564.97559
2522.519,1648.35645
2522.6228,1690.26379
2522.95752,1620.76147
2524.07129,7512.68262
2524.29688,1604.79932
2524.30664,1634.57336
2526.62915,7471.34131
2527,7406.833
2527.26123,7465.62354
2527.34253,7293.01025
2528.30713,1777.01575
2528.79,7273.783
2529.25757,1708.92212
2530.47729,1738.03735
2530.48242,7224.00537
2531.23438,1711.50037
2531.70313,1626.48486
2532.09473,1648.62341
2532.43,1754.49512
2532.53613,1601.42639
2532.98926,1698.51172
2533.3938,7394.091
2533.73169,7361.88428
2533.85034,1660.87085
2534.14258,7487.307
2534.20581,1799.23987
2534.21582,7553.90967
2534.36157,7514.1416
2534.976,7221.78662
2535.18481,1631.27747
2535.735,1740.97034
2535.81738,7507.79639
2535.943,7714.699
2536.002,1756.862
2537.15479,7247.09375
2537.27417,1811.21912
2537.46484,7398.47461
2537.7605,1650.373
2537.884,7439.57666
2537.95337,1790.72363
2539.09351,7140.83936
2539.32251,7569.14844
2539.341,1747.47363
2540.651,7684.84375
2541.16187,1789.813
2541.18945,7737.40967
2541.6167,7379.92529
2542.2124,7323.01563
2542.51978,1768.18958
2543.07886,7690.26758
2543.099,7845.452
2543.20679,7557.626
2543.40845,7288.38232
2543.66333,1666.90125
2543.687,7552.745
2543.901,1785.53357
2544.04663,7410.037
2544.20581,7017.86
2544.607,7292.339
2544.74634,7508.961
2545.36084,7479.246
2545.42163,1716.93591
2545.68213,7651.169
2546.261,7622.02051
2546.2915,1537.0083
2546.49341,7591.03369
2546.60938,7471.684
2546.66943,1710.7926
2546.704,7334.53174
2546.8623,1723.8689
2546.99683,7211.797
2547.09863,1753.3606
2547.3396,1652.68359
2548.318,1647.99585
2548.47485,1757.96729
2548.84082,1741.40686
2549.54541,7464.90771
2549.699,1761.9303
2550.17114,7243.513
2551.04517,1605.89978
2551.13428,7791.159
2551.18481,1784.16992
2551.21826,1727.41675
2551.789,1616.20911
2551.90039,7402.741
2551.919,1692.77319
2552.341,7357.28467
2553.177,7252.1333
2553.409,1674.44421
2553.46655,7697.517
2553.50317,1727.133
2553.63379,1793.85364
2553.69922,1672.74792
2553.76953,1765.26013
2553.9873,7605.62549
2554.033,7352.528
2554.75244,1671.57776
2554.75513,1787.69678
2554.90161,1807.82275
2555.0188,7400.14
2555.08887,7486.07
2555.18018,7465.716
2555.273,7445.58838
2555.39038,1772.64673
2555.81079,1722.622
2555.892,7197.002
2556.13135,7556.189
2556.44336,7554.874
2556.925,1674.00562
2557.02271,7348.68
2557.14233,7206.371
2557.26074,7340.632
2557.506,1704.973
2557.682,7465.177
2557.74927,1766.65955
2558.26123,1717.47083
2558.35327,1759.98584
2558.64478,1628.57166
2558.66016,7547.46631
2558.816,7745.2583
2559.08179,7382.24072
2559.4436,7708.47266
2559.49585,7500.66
2559.71167,7395.509
2559.902,1701.51453
2560.25854,7377.69336
2560.27441,7455.78125
2560.789,1743.39441
2560.81152,7422.255
2560.99,7393.687
2561.868,7329.905
2561.94751,1670.48523
