Ch1 Amplitude,Ch2 Amplitude,Cluster
2296.11963,1668.11987,1
2376.58252,1591.27576,1
2379.33813,1696.91138,1
2406.103,1605.27026,1
2419.56567,1483.0813,1
2419.73364,1628.6322,1
2431.731,1611.70569,1
2431.917,1607.52759,1
2435.137,6935.91357,1
2443.59277,1701.219,1
2447.52319,7097.74463,1
2449.326,1620.12207,1
2450.53174,7496.644,1
2452.65649,1649.78625,1
2455.605,1667.17188,1
2458.96851,1622.34509,1
2460.70532,1594.48694,1
2462.163,1656.006,1
2466.04541,6950.916,1
2472.56543,7250.729,1
2473.20459,1714.91235,1
2476.941,1715.1145,1
2480.04932,7403.383,1
2480.62378,1599.69873,1
2482.808,7214.96338,1
2486.38281,1743.28,1
2490.71948,1717.2915,1
2492.22852,1608.06165,1
2492.529,1720.71912,1
2494.60229,7459.283,1
2494.71436,1641.668,1
2495.57935,1553.78308,1
2499.44531,1650.186,1
2501.379,1716.55347,1
2502.67725,1731.67236,1
2502.70361,7457.71729,1
2503.459,1622.10681,1
2503.47485,1581.79712,1
2503.93164,7724.02539,1
2504.70947,1549.025,1
2504.90259,1663.36719,1
2509.32178,1612.664,1
2509.87134,1706.60767,1
2511.77441,7282.317,1
2512.11768,1587.11572,1
2512.767,7624.668,1
2518.38184,1778.32458,1
2518.70044,1595.54651,1
2519.94922,1718.37085,1
2519.974,7391.527,1
2520.14941,7448.163,1
2521.0896,7400.761,1
2522.21582,7519.777,1
2522.67383,1765.84631,1
2522.81323,7522.714,1
2523.37744,7359.97852,1
2523.91943,7646.72,1
2524.45679,7439.80469,1
2524.647,7734.1543,1
2526.48315,1786.00732,1
2526.57056,7605.984,1
2528.664,7184.47461,1
2529.29224,7609.838,1
2531.76855,1628.12671,1
2533.075,7380.605,1
2534.25586,7614.27,1
2536.25928,1731.98792,1
2536.49854,1693.179,1
2537.77954,7257.631,1
2538.22,7434.254,1
2538.46729,7422.284,1
2539.708,1662.18,1
2540.41016,1691.59961,1
2542.45044,7403.1167,1
2542.94263,1805.40808,1
2543.09888,7588.4917,1
2543.71533,1797.07886,1
2545.12451,7357.5835,1
2545.57178,7356.65625,1
2546.77954,7534.87,1
2548.405,1844.88489,1
2549.17285,1760.43384,1
2549.27783,7502.76074,1
2549.364,1694.058,1
2550.30566,1609.89063,1
2550.90552,1749.4646,1
2551.15771,7483.42871,1
2552.43652,1833.878,1
2552.494,7411.0835,1
2553.40918,1704.217,1
2553.8,7387.947,1
2554.085,7466.30273,1
2555.01221,7482.658,1
2555.43555,7638.30664,1
2555.974,1728.64014,1
2556.10742,1605.58984,1
2557.00928,1751.57837,1
2557.38159,7441.6,1
2557.39038,7610.1416,1
2558.10327,1736.18762,1
2558.4187,7453.65674,1
2560.05786,7394.928,1
2560.169,7453.34375,1
2560.214,7477.579,1
2560.82666,7316.65137,1
2560.969,7387.131,1
2561.05151,1797.27185,1
2562.26123,7478.4165,1
2562.71387,7383.41748,1
2562.74,7382.77734,1
2562.75415,1832.70764,1
2562.89258,1828.2478,1
2563.032,1710.46362,1
2563.81543,7662.07227,1
2564.048,7738.156,1
2564.366,7516.927,1
2564.68286,7597.15869,1
2564.814,1729.489,1
2564.92065,7532.01758,1
2565.316,1773.40015,1
2565.37378,7441.50439,1
2565.464,1646.89185,1
2565.52075,7552.588,1
2566.11157,1730.72046,1
2566.22754,7507.711,1
2566.28638,7401.74951,1
2566.33154,1677.10925,1
2567.2002,1707.45044,1
2567.315,1707.16956,1
2567.60986,1768.88269,1
2567.7522,1774.91309,1
2567.92578,1737.33032,1
2568.07373,1625.93066,1
2568.08032,7458.02148,1
2568.31055,1780.22925,1
2568.72314,1694.89978,1
2568.74438,1626.4801,1
2568.879,1761.9646,1
2568.93262,7282.4707,1
2569.11963,1741.86145,1
2569.126,1701.32373,1
2569.386,7401.40332,1
2569.463,7317.009,1
2569.51318,1765.21167,1
2569.68262,1704.07349,1
2569.98462,7530.65869,1
2570.95532,1757.43628,1
2571.21729,7455.469,1
2571.49731,1760.58862,1
2572.25146,7374.17969,1
2572.315,1722.07483,1
2572.36914,1691.87866,1
2572.545,7427.01074,1
2573.12231,1647.86194,1
2573.16431,1685.79468,1
2573.2356,7691.237,1
2573.372,1652.157,1
2573.574,7619.04443,1
2573.61279,7448.096,1
2573.765,7522.80127,1
2574.36743,1795.87024,1
