Ch1 Amplitude,Ch2 Amplitude
681.5281,6510.985
692.324463,6559.49072
693.9766,6537.87354
694.45,6466.42529
695.1716,6443.17871
698.373169,6476.696
702.199646,6407.60352
703.3907,6527.013
708.9798,6701.243
709.2834,6463.62158
709.573669,6825.846
711.1569,6412.15771
711.568848,6583.017
713.9164,6504.39453
716.708252,6459.72656
718.1737,6590.45947
718.547,6501.709
718.929565,6515.118
719.833862,6508.9375
720.6199,6670.04541
721.473938,6547.78125
721.6836,6547.309
722.506531,6527.794
722.6502,6482.1
724.4266,6576.99463
724.766052,6479.426
725.2156,6484.765
725.7289,6514.28125
725.7912,6721.42725
726.8853,6480.98633
727.6204,6535.69629
728.245056,6677.032
729.9842,6575.36
730.1643,6597.97656
730.314453,6543.998
731.4591,6631.336
732.1849,6543.44727
732.2032,6454.43
732.4257,6570.274
732.803,6478.9873
733.6813,6408.00342
734.3029,6461.91
734.592651,6494.8916
734.6129,6511.524
735.382751,6463.272
735.858459,6472.448
736.4851,6569.103
737.7762,6634.69629
738.4007,6510.905
739.5396,6468.09668
739.6894,6684.37354
739.858032,6453.9043
739.99176,6639.718
740.029053,6517.84326
740.324158,6644.28564
740.521667,6748.46875
741.2199,6404.94775
741.467651,6615.43555
741.5033,6474.689
741.525635,6407.62646
742.0819,6389.616
743.0679,6449.628
743.2849,6398.55762
743.324036,6445.43359
744.298645,6596.702
744.477234,6542.568
744.987854,6685.855
745.7359,6465.16846
746.6706,6503.273
746.8816,6423.51025
747.514465,6556.537
747.8779,6794.03
747.891052,6375.13672
748.004944,6491.50049
748.33905,6650.43164
748.595154,6503.747
748.9958,6537.354
749.1672,6481.98535
749.2012,6659.92334
749.7056,6518.47461
750.0089,6403.002
750.1568,6558.01953
750.1819,6426.564
750.46875,6434.26855
750.581665,6421.44873
750.8469,6499.44971
751.191956,6418.351
751.2595,6735.90234
752.087952,1274.08777
752.204163,6622.33447
752.765869,6525.34863
752.839661,6592.94727
752.984558,6536.984
753.0398,6504.997
753.3071,6538.72656
753.644043,6408.355
753.7807,6487.131
753.8569,6514.23975
754.4969,6575.619
754.826843,6348.984
754.9701,6616.65869
755.207,6551.03955
755.493042,6485.645
755.9854,6584.80029
756.0314,6634.243
756.0829,6493.19141
756.3162,6385.019
756.4605,6519.563
756.5888,6416.70361
756.8954,6451.24658
756.9037,6582.46533
756.9601,6445.53857
757.491638,6488
757.9869,6581.657
758.0047,6600.306
758.261169,6512.647
758.6616,6477.988
758.809448,6527.45361
758.9439,6508.412
759.4447,6424.593
759.5849,6570.66943
760.1845,6552.115
760.629944,6445.32227
760.6477,6307.68359
760.7152,6518.07959
761.132568,6446.87939
761.3216,6431.467
761.3554,6488.397
761.5144,6588.152
761.6841,6546.862
761.6853,6415.203
762.0589,6379.36572
762.493347,6511.74
762.5642,6344.733
762.6408,6374.30859
762.834961,6457.854
762.8769,6553.71875
762.885254,6490.483
763.1377,6570.604
763.4711,6353.26953
763.727539,6417.65234
763.8172,6644.20557
764.006348,6627.989
764.0164,6607.12158
764.1226,6509.06934
764.3124,6582.637
764.727,6535.2583
764.8259,6472.16064
764.986755,6378.843
766.545166,6516.95361
766.70636,6596.679
767.419,6283.17
768.893738,6519.207
769.32196,6539.7417
769.4679,6550.218
769.5387,5635.475
769.5457,6425.42
769.5904,6457.39063
770.3388,6416.774
770.744263,6602.7793
770.853,6345.87939
770.868652,6412.092
770.9694,6353.991
771.068,6730.711
771.125061,6431.011
771.1275,1330.064
771.190552,6452.6626
771.274963,6411.77734
771.3351,1406.823
771.6658,6435.65137
771.70166,6563.83545
771.85,6591.512
771.8888,6559.66357
771.974243,6463.6665
771.996033,6642.322
772.074036,6531.844
772.280334,6483.508
