Ch1 Amplitude,Ch2 Amplitude
2360.098,6119.26953
2396.3916,1415.31665
2445.838,6740.79639
2451.63867,1381.74683
2492.55884,1478.19617
2519.6355,7082.25049
2523.973,1502.20825
2527.89819,7326.01367
2534.10864,1583.26318
2536.88452,6954.145
2541.41626,7427.63867
2544.85815,7354.4917
2545.72827,7159.80371
2546.5293,7305.146
2547.02515,1632.38965
2551.531,7431.81445
2551.60254,7330.102
2553.91357,7396.401
2555.11816,7170.49658
2555.22,7345.129
2556.61938,1583.0625
2556.7478,7340.569
2557.22827,1571.822
2557.824,1657.4989
2561.66577,1562.46863
2561.91553,7257.91162
2562.98926,1637.13538
2563.16016,7236.16943
2563.92456,7236.85938
2565.771,6917.769
2565.963,6779.025
2567.622,1613.36133
2568.69385,7398.39648
2569.4248,1539.32019
2571.471,1705.54749
2572.14819,7236.664
2572.286,7485.02051
2572.62842,7572.58545
2572.64429,1578.78064
2574.25,7156.522
2574.255,7243.663
2574.47,7359.31
2574.976,7394.96533
2576.28931,1662.10986
2576.316,1595.19946
2576.918,1620.04773
2578.37817,7222.914
2578.94,1668.67456
2579.74219,1626.24316
2580.308,7291.98
2580.364,1684.01587
2580.49561,1508.41187
2580.53149,7449.027
2581.59766,7376.36328
2581.83521,7521.87256
2581.88159,1682.44836
2582.37769,1609.86621
2583.049,7268.08154
2583.317,7392.46973
2583.66187,1533.99573
2583.67944,7324.46973
2583.71338,1671.69666
2584.115,7384.409
2584.76538,7587.96436
2585.46069,7393.08154
2585.93384,7535.228
2585.96973,7381.80029
2586.77246,1609.8252
2587.53564,1572.768
2587.61084,7156.00146
2588.00977,1553.957
2588.53,7254.957
2588.74438,7287.11328
2589.30176,7352.985
2589.93262,1653.79089
2590.114,7430.44727
2590.17139,7440.42334
2590.87524,7331.73
2591.19849,1542.697
2591.21777,7511.309
2591.44556,7357.92871
2591.69067,1471.016
2593.01318,1488.675
2593.3606,7555.835
2593.80566,1684.14526
2593.92749,7430.804
2594.86133,1625.64685
2595.13867,1590.18237
2595.306,7284.07568
2595.434,7233.448
2595.618,7334.29834
2596.50854,1621.13367
2596.51782,7410.11475
2596.62134,7434.48438
2597.34619,1537.695
2597.34961,1582.07385
2597.86475,1605.6
2598.37,1694.62866
2598.462,1545.24878
2599.601,1617.94946
2599.77319,1711.36975
2599.87256,7258.97559
2600.22266,7385.62256
2600.61938,1580.854
2600.81836,1496.61707
2601.07666,1703.59839
2602.00952,1587.8291
2603.05127,1570.68713
2603.73584,1727.73047
2603.87476,7225.07
2604.728,1477.87048
2604.947,1668.65454
2605.12085,1581.49426
2606.48413,7433.2793
2606.52222,1683.57275
2606.67773,7493.768
2606.96436,7302.11328
2607.1167,1741.60229
2607.244,1621.01758
2607.44824,1635.807
2607.56738,7320.35352
2607.60767,7406.46826
2607.795,7344.491
2608.37061,7462.03125
2608.53076,1584.95117
2608.82935,7329.449
2608.85,1639.08
2609.03345,1588.57043
2609.10474,1684.19055
2609.32935,7271.623
2609.34937,1643.11609
2609.42139,1618.04248
2609.4978,1614.70532
2609.64453,1658.40918
2609.763,1600.67371
2610.089,1663.27222
2610.505,1522.396
2610.53857,1552.73328
2610.8916,7401.81055
2610.95386,7220.912
2611.12573,7391.80859
2612.19629,1684.44409
2612.204,7341.7876
2612.3645,7369.329
2612.77271,7509.857
2612.775,1583.83948
2612.92871,7538.45361
2613.17554,7456.01563
2613.28931,7273.27832
2613.37354,7225.599
2613.38818,1585.3158
2613.55,1647.61084
2613.75562,1782.26123
2613.82446,7360.172
2613.83081,1560.44
2613.86035,1614.26208
2614.21436,1568.37146
2614.22,7339.46338
2614.37,7413.638
2614.40869,1599.832
2614.52441,7318.37256
2614.76221,7155.19775
2614.84277,1536.62329
2615.24731,7469.57666
2615.26831,1670.79456
2615.35718,7383.628
2616.11035,1535.37976
2616.71484,7160.34766
2616.906,1587.04932
2617.17822,1615.79626
2617.35083,7257.37939
2617.38062,1679.49109
2617.4502,1594.94519
2617.852,7251.04736
2618.21875,1572.74231
2618.5,1762.33154
2618.56616,7146.78
2619.00586,1519.41528
2619.143,7651.19141
2619.19849,7380.379
2619.35181,1480.05322
2619.54028,7395.50342
2619.715,1568.33557
2619.96533,7362.81641
2620.0686,1544.267
2620.077,7213.693
2620.20825,1549.47961
2620.233,7496.51367
2620.32251,7428.87744
2620.521,7274.74756
2620.86621,7380.206
2621.01025,7360.44043
2621.05322,7541.815
2621.16284,1692.39526
2621.18018,7424.456
2621.227,7497.743
2621.34424,7223.299
2621.42676,1594.28381
2621.44946,1655.09912
2621.87769,7416.36426
2621.95361,1567.97571
2622.018,7521.3833
2622.04,7500.993
2622.141,1617.26123
2622.21436,7379.802
2622.24,7350.65039
2622.30078,7302.902
2622.415,1639.35876
2622.49146,1610.35779
2622.59521,7180.91846
2622.781,7255.433
2622.89453,1693.9093
2623.02759,1648.0824
2623.118,7427.86133
2623.323,7449.58545
2623.35132,7356.62842
2623.5813,7258.49854
2623.8252,1649.697
2623.84741,1647.18677
2623.89966,1764.76379
2624.39771,1643.1123
2624.77759,7389.8916
2625.06,7388.59668
2625.18555,7404.137
2625.271,1615.73853
2625.43774,7397.73926
2625.82813,7404.85254
2625.96777,7321.43652
2626.00952,7290.212
2626.04688,7469.806
2626.22778,7338.793
2626.311,1632.57849
2626.38623,1560.2926
2626.564,7391.34033
2626.66943,1661.07947
2627.29688,7137.162
2627.35864,7222.094
2627.54565,1525.98389
2627.67529,1610.90881
2627.72754,7426.9624
2627.88843,1601.27747
2627.89722,1581.16138
2628.08569,1583.51624
2628.15356,7356.582
2628.28,1689.86047
2628.3728,1580.50244
2628.392,7663.169
2628.50049,1629.3103
2628.81665,7248.14355
2628.851,7598.955
2628.87,1522.68481
2628.99243,1611.18188
2629.00024,1663.35925
2629.10962,7439.54932
2629.15845,7351.601
2629.22144,1669.105
2629.252,7328.08447
2629.47168,7153.879
2629.5188,7608.765
2629.75269,1552.353
2629.83032,1661.89246
2629.83325,7252.42236
2630.026,1648.91309
2630.20679,7387.74951
2630.396,1663.74268
2630.40918,7375.307
2630.474,1622.65881
2630.48755,7400.684
2630.615,1751.018
2630.681,1578.37268
2631.28174,7414.0415
2631.303,1738.93909
2631.61816,7395.189
2631.6416,7594.811
2631.73633,7430.165
2631.78955,7498.789
2631.87866,1724.76
2632.10986,1618.22986
2632.12549,1604.23694
2632.40576,1587.128
2632.41064,7279.018
2632.547,1556.28662
2632.59814,7274.09668
2632.84814,1536.20654
2632.95581,7309.08643
2633.07617,7279.30859
2633.14258,1690.16626
2633.35181,1564.79846
2633.583,7323.813
2633.782,7449.912
2633.89185,1629.1637
2633.94556,1635.45728
2634.0415,7325.49072
2634.11816,1583.1947
2634.1272,7257.141
2634.28931,1576.41516
2634.37476,1546.94055
2634.53467,6853.13965
2634.79443,1711.12158
2634.84619,1607.24841
2634.85425,1670.418
2634.95142,1564.55676
2635.039,1612.845
2635.11353,7497.57031
2635.24951,1649.36719
2635.342,1666.65283
2635.6748,1583.70984
2635.71338,7386.35254
2635.88281,7530.558
2635.90723,1639.45154
2635.96753,1605.54773
2636.03467,1490.8
2636.10864,7360.42432
2636.197,1596.9176
2636.324,1693.02747
2636.42236,1598.25452
2636.63135,1749.58569
2636.72852,1640.863
2636.79565,1620.971
2636.97241,1593.40527
2637.005,1700.13831
2637.06787,1577.33643
2637.19,1600.02234
2637.31445,7337.752
2637.52637,7430.54736
2637.542,1710.66724
2637.81323,7511.20068
2637.826,1630.46375
2637.828,1647.57336
2637.85986,7325.23828
2638.06616,1495.76
2638.335,7398.267
2638.37769,7570.70068
2638.384,1613.41235
2638.42017,1587.743
2638.492,1578.93335
2638.55029,1549.19824
2638.57666,7383.058
2638.60522,7500.56738
2638.63232,7316.74072
2638.79443,1505.46
2638.82129,1650.52869
2638.85474,7377.90137
2638.971,7383.618
2639.1958,1542.761
2639.50562,7382.97754
2640.003,1706.04053
2640.02173,7401.04541
2640.04419,1661.42957
2640.1897,1575.13013
2640.20532,7429.13135
2640.2478,1613.99756
2640.27856,7266.53125
2640.33374,1536.28076
2640.35376,1620.61938
2640.42627,1649.39136
2640.70581,1705.82935
2640.86865,1711.56677
2640.91748,7284.894
2640.97485,7286.03027
2640.988,1695.62183
2641.03735,7368.855
2641.20142,7482.812
2641.22217,1663.6886
2641.27368,7228.376
2641.3252,7544.915
2641.514,1726.90173
2641.57056,7476.47754
2641.58569,1559.79846
2641.67651,1584.20715
2641.77954,7301.955
2641.83057,1656.30627
2641.8335,7299.18
2642.00122,1594.78625
2642.07,1564.53
2642.12231,1481.09631
2642.16943,1598.93555
2642.18,1576.66028
2642.23633,1661.273
2642.37476,7191.133
2642.399,1602.72
2642.53345,1637.93848
2642.53979,1625.65186
2642.75122,1601.97473
2642.77881,1626.45435
2642.86743,1619.74426
2642.94214,1621.99573
2642.97388,7251.041
2643.00659,7332.094
2643.01587,1658.9873
2643.081,7420.447
2643.10571,1531.35254
2643.16748,1651.05823
2643.16943,1559.41931
2643.21143,7420.091
2643.22168,1659.52307
2643.22168,1636.20825
2643.30444,7229.613
2643.32886,1555.06506
2643.47266,7370.41064
2643.56885,7231.926
2643.62231,1679.979
2643.73022,1634.994
2643.761,1611.614
2643.811,1570.78235
2643.94043,7353.7417
2644.08936,1543.57336
2644.093,1653.71533
2644.135,1598.33374
2644.13745,1542.01807
2644.15723,1663.74768
2644.20776,7364.50635
2644.313,7262.213
2644.38916,1735.79163
2644.44922,7267.61035
2644.46924,1396.24707
2644.54175,1682.36951
2644.553,1705.16931
2644.66064,1562.97168
2644.961,1668.11279
2645.11621,1642.2124
2645.26831,1538.63672
2645.284,1688.84229
2645.39575,7476.697
2645.421,1568.46753
2645.47046,7201.629
2645.56934,1685.10022
2645.63086,1498.26367
2645.68115,7551.678
2645.6814,1573.61816
2645.83984,7459.408
2645.90576,7408.953
2645.973,1670.39917
2646.11182,7157.795
2646.23364,1650.888
2646.43384,6914.77246
2646.48828,1532.99084
2646.58179,7353.59863
2646.618,1655.71118
2646.65845,7282.558
2646.67358,1658.75513
2646.71118,1578.91077
2646.74341,1575.1156
2646.769,1558.18384
2646.79077,1581.76
2646.82251,1613.82947
2646.835,7297.154
2647.03,1541.225
2647.25781,7606.627
2647.26123,1695.38831
2647.47,1552.15991
2647.51758,1593.39563
2647.6228,1662.08887
2647.67163,1584.7937
2647.7,1610.88232
2647.78027,1628.30676
2647.81836,1683.61646
2647.84,7287.02832
2647.902,7391.763
2648.066,1568.44812
2648.09521,7372.113
2648.15771,1558.71851
2648.318,1610.6748
2648.34546,1553.22778
2648.396,1583.45984
2648.56934,1649.78394
2648.61646,7311.14453
2648.73779,7235.53662
2648.76123,7434.452
2648.79419,1608.42578
2648.884,7536.526
2648.88843,7273.35645
2648.89478,1530.4325
2648.91919,7405.814
2648.96753,1546.06531
2649.02686,1611.75769
2649.30322,7136.65967
2649.321,7474.983
2649.3562,1663.73425
2649.35938,7320.7085
2649.37256,7445.067
2649.41016,1538.192
2649.44873,1610.96216
2649.57373,1677.62842
2649.613,1565.89771
2649.642,1659.61865
2649.643,1684.04309
2649.76733,1603.82007
2649.77734,7397.21143
2649.84766,7306.723
2649.99414,1652.047
2649.999,1567.214
2650.13184,1694.75012
2650.15845,1638.23511
2650.17139,1588.32092
2650.217,1601.37231
2650.218,7505.24365
2650.49536,1612.10986
2650.508,7414.901
2650.54248,7476.99951
2650.59766,7473.274
2650.61987,1666.23242
2650.64551,7374.036
2650.78125,1623.61279
2650.80713,1770.967
2650.94922,7274.919
2650.95776,1663.05872
2651.011,7207.868
2651.04761,1557.01538
2651.10425,1603.71948
2651.201,7539.9707
2651.378,1647.50891
2651.37964,1572.49219
2651.56519,1694.1051
2651.617,1511.46118
2651.78564,1623.81628
2651.852,1553.89087
2651.85669,7569
2651.90479,7222.54346
2652.01025,1586.3302
2652.01636,1608.13623
2652.06738,1652.28186
2652.06738,1614.23193
2652.12378,1675.4707
2652.156,1631.47021
2652.46631,1627.0769
2652.57959,1689.63232
2652.5874,7315.32568
2652.68018,1578.62488
2652.93921,7102.89
2652.94263,7398.745
2653.11768,1621.763
2653.12939,1559.93408
2653.23364,7351.40967
2653.363,7289.643
2653.36987,1655.30676
2653.49121,1671.35291
2653.71973,1621.80981
2653.92725,7465.70947
2653.95117,1672.44263
2653.97729,7555.74658
2654.11523,7324.17627
2654.14868,1534.10791
2654.22949,1621.3938
2654.358,7435.26465
2654.413,1674.97192
2654.43774,7276.35156
2654.45947,7576.59766
2654.54956,1605.69836
2654.5498,1714.54517
2654.63184,1639.51331
2654.70435,7447.58154
2654.73975,7340.38574
2654.76929,1537.63159
2654.81128,7290.84326
2654.99365,1544.94666
2655.066,1662.05261
2655.15723,7432.014
2655.20874,7373.8584
2655.25073,1715.29077
2655.25244,1591.12854
2655.25269,7568.3833
