Ch1 Amplitude,Ch2 Amplitude
802.0119,5757.104
805.803345,6350.584
825.730835,6401.536
832.687134,6269.03027
833.217651,5886.03271
833.7489,6438.0293
834.1729,6222.717
838.037537,6278.504
838.869934,5859.0835
839.8689,6262.437
841.9779,6227.10059
842.9759,6383.41553
843.2965,6143.31152
844.3542,6118.07275
844.760254,6242.30469
844.8086,6067.92139
845.164063,6342.82
846.2716,6259.90137
846.8067,6296.316
847.467163,6139.72
847.8616,6255.05859
848.366638,6260.88525
849.866,6058.58936
850.0562,6339.26855
852.403564,6286.222
852.449341,6315.95459
852.989,6427.109
853.316956,6205.03
854.5124,6454.002
855.721069,6529.97656
856.3328,6445.933
856.3572,6385.955
857.3378,6350.97266
858.7159,6119.37744
858.7579,5952.63232
859.4151,6302.11768
860.1073,6186.268
860.2834,6046.91
860.5031,6275.45264
861.0099,6260.557
861.15564,6197.77734
861.7986,6319.84473
862.0558,6255.557
862.307434,6281.63135
862.662,6281.073
863.0787,6059.53125
863.1814,6230.77832
863.27356,6215.512
863.5069,6336.157
863.66864,6262.00928
863.794861,6624.25635
863.848755,6013.466
864.7345,6351.43652
864.8137,6295.558
865.114441,6474.354
865.1452,6238.843
865.8307,6225.81445
865.8391,6270.537
865.959534,6490.7627
866.4298,6464.81738
866.734863,6438.83643
866.7776,6063.764
867.259644,6538.884
867.358032,6182.844
867.8867,6349.489
867.9364,6217.585
867.944946,6142.384
868.551,6252.78467
868.7845,6513.64746
870.0334,6008.869
870.6322,6163.59668
870.9516,6441.50146
870.9847,6263.779
871.2427,6393.98438
871.4442,6296.543
871.774353,6321.958
872.083557,6272.519
873.466553,6315.053
873.4719,6535.154
873.5032,6438.14941
873.7495,6465.03467
874.4269,6173.419
874.5058,6289.98
874.5704,6456.681
874.744568,6543.107
874.7985,6452.753
875.492737,6394.896
875.9522,6231.138
876.0968,6336.07373
876.464,6257.24951
876.720642,6192.29736
876.7665,6327.46533
876.779358,6192.359
877.040649,6389.61572
877.3679,6478.52148
877.410156,6248.393
878.329163,6291.79541
878.7267,6044.34326
879.0029,6422.42432
879.04,6290.442
879.335754,6165.09229
879.348145,6404.15
879.735535,6298.976
879.81665,6144.10547
879.8173,6448.91357
879.863831,6315.533
880.3755,6444.05371
880.4756,6171.48535
880.483459,6380.63525
880.4837,6550.70752
880.5276,6258.71729
881.2336,6275.55762
881.395264,6130.27832
881.586731,6247.96533
881.6577,6355.848
881.7564,6323.113
881.8021,6315.1123
881.958557,6434.87061
882.337341,6140.967
882.7726,6232.94775
882.8882,6204.866
882.953735,1270.63452
883.550964,6579.062
883.683167,6306.87549
884.003,6132.98438
884.380554,5982.60059
884.5717,6458.769
884.9917,6280.05664
885.0438,6294.238
885.5179,6363.552
886.0737,6372.99658
886.5069,6294.23145
886.634155,6331.71875
887.029968,6249.05469
887.0758,6344.32764
887.0944,6174.89258
887.1461,6272.59
887.6764,6327.459
887.936157,6323.76465
887.9582,1359.12512
888.061157,6187.961
888.226563,6210.775
888.6541,1314.327
888.6761,6163.51855
888.6863,6227.389
888.703735,6360.4873
888.7792,6310.677
888.881,6064.93652
888.9552,6407.471
888.968,6257.10352
888.998535,6244.784
889.4206,6318.772
889.5642,6449.4165
889.701538,6053.20068
889.969666,6081.26563
890.0841,6557.96631
890.3227,6274.236
890.345,6339.28369
890.772766,6201.23633
890.8377,6350.901
890.9151,6270.0293
890.950867,6382.2793
891.057,6362.63428
891.1037,6449.62939
891.1569,6190.53955
891.2217,6028.366
891.2499,6106.581
891.268555,6342.608
891.2725,6191.56055
891.446167,6202.97168
891.501831,6300.08447
891.775452,6050.17969
891.952637,6340.475
892.188538,6211.94531
892.391541,6444.279
892.4973,6320.957
892.7521,6186.846
892.791931,6701.33154
892.793945,6031.61572
892.8033,6059.60352
892.857056,6038.39746
893.14,6297.98145
893.1512,6213.86475
893.185242,6367.84229
893.2201,6129.95654
893.394836,6357.79834
893.4778,6154.953
893.7879,6432.56738
893.9128,6124.98926
894.0222,6096.17432
894.2943,6466.94873
894.315552,5943.269
894.3898,6206.798
894.4692,6278.554
894.5044,6209.98145
894.6537,6357.94238
894.685669,1235.2428
894.7356,6508.47656
894.816956,6270.022
