Ch1 Amplitude,Ch2 Amplitude
1776.49841,7138.944
1795.1853,7141.13574
1820.08838,7165.008
1822.23267,7314.25342
1839.61194,7356.439
1840.62964,7213.70459
1844.803,6886.419
1848.0116,7237.92041
1848.37512,7153.001
1849.40552,7233.31641
1850.458,6911.68652
1852.74927,7064.18066
1856.10681,7171.929
1861.21338,7164.44238
1861.99976,7017.615
1862.12317,7320.22168
1864.06714,6912.929
1864.62769,7112.66357
1864.80957,7111.601
1867.05957,7012.83838
1868.04883,7196.157
1868.73389,7022.281
1870.24219,7116.73145
1874.92017,7407.71533
1878.8678,7080.479
1879.213,7115.148
1882.624,7280.04443
1882.99744,7181.082
1883.89172,7173.97461
1883.96094,7354.78564
1885.15466,7083.33
1885.16565,7156.603
1885.56726,7239.085
1885.81018,7251.23828
1886.967,7302.176
1887.3783,6360.75537
1888.3175,7229.59131
1888.56653,7135.526
1888.655,7247.172
1888.68225,7140.85645
1889.339,7097.30762
1889.78369,7102.359
1889.92017,7046.582
1890.50488,7335.234
1890.59265,7116.18164
1891.73,7094.316
1893.20947,7244.99365
1893.689,7280.29
1894.3197,7111.01563
1894.67175,7098.015
1895.38293,7225.02
1895.91956,6894.344
1896.14307,7116.3916
1896.54919,7285.891
1896.98914,6641.908
1897.53235,6962.409
1897.74146,6879.89844
1898.23108,7256.816
1898.36475,7190.59033
1898.41736,7048.023
1899.85181,7033.148
1901.52356,7260.929
1901.64648,7337.88428
1901.92371,7206.61
1902.10925,7061.765
1902.49268,7428.233
1902.97241,7185.82
1902.991,7312.40332
1903.02478,7259.6416
1903.99683,7089.18359
1904.59753,7214.2627
1904.91052,7223.6665
1905.07776,7314.6875
1905.77942,7331.98145
1906.43433,7266.271
1907.09387,7258.79443
1907.24658,7137.4917
1907.35718,7060.103
1907.9104,7150.208
1908.33215,7208.29834
1909.85352,6981.327
1910.28931,7022.683
1910.59741,7093.32373
1910.602,7152.78125
1910.93616,7085.116
1910.98792,6970.96
1911.137,7222.608
1911.64258,7144.95361
1912.15588,7147.42627
1912.31543,6083.33154
1913.1062,7204.47754
1913.79089,1339.49866
1914.265,7089.82471
1914.90051,7168.109
1915.16968,7298.131
1915.29114,6908.381
1915.3512,7069.974
1915.50793,7136.684
1916.34644,7204.827
1916.37207,7158.31738
1916.38635,6960.79346
1916.50122,7204.94971
1916.50134,7352.702
1917.27441,6507.01563
1917.4668,7053.432
1917.46985,7143.00439
1917.672,7056.52637
1917.81018,7151.591
1918.16406,6972.97656
1918.19165,7278.85742
1918.24353,5644.14648
1918.30994,7229.797
1918.3363,7094.5166
1918.37036,7190.6543
1919.28784,7352.21045
1920.2019,1190.45459
1920.35645,7200.24
1920.64,7102.30957
1920.856,7080.53174
1921.378,7087.69238
1921.43457,7088.40039
1921.68481,7081.68945
1923.24915,7167.80566
1923.29138,7579.583
1923.302,6885.328
1923.44482,7209.464
1923.53943,7217.4165
1923.63171,7393.56641
1923.98828,7297.24
1924.02136,7326.701
1924.15222,7041.45
1924.2334,7489.1416
1924.63232,7198.974
1924.93542,7008.09131
1925.3208,7364.574
1925.6958,7309.37158
1925.865,7190.05029
1925.91528,6974.778
1926.50842,6910.26074
1926.632,6844.518
1926.74036,6993.407
1926.91846,7325.82568
1926.95337,7161.423
1927.26038,7222.082
1927.51624,7223.33252
1927.51636,7298.99756
1927.588,7280.437
1927.68555,7084.96143
1928.21838,7352.19971
1928.45032,7493.72266
1928.47131,7181.50342
1928.509,7274.44043
1928.64844,7160.98926
1929.5282,7129.67
1929.66187,7414.18945
1930.17358,7066.8833
1930.29285,7199.91553
1930.44507,7316.437
1930.94849,7285.195
1931.24817,6994.69141
1931.69238,7037.938
1931.92029,7039.104
1931.92053,7478.16846
1932.0946,6954.90625
1932.10156,7093.53662
1932.1582,7021.132
1932.2605,7075.129
1932.50391,7223.27148
1933.601,6873.26367
1933.76123,7087.657
1933.88452,7140.90674
1934.40833,7080.39648
1934.5553,7321.549
1934.70166,7376.529
1935.09509,7287.10059
1935.24622,7155.568
1935.2948,7445.102
1935.50073,7412.72363
1935.62793,6795.002
1935.84155,7025.677
1935.96362,7070.517
1936.53784,7188.601
1936.57483,7274.04541
1936.58484,7089.61572
1936.76453,7285.97363
1936.96875,7249.75
1937.09387,7214.01025
1937.3053,7224.012
1937.33423,7056.834
1937.36682,7002.95361
1937.51917,7298.358
1938.45251,7225.45947
1938.77771,7231.112
1939.16138,7280.94629
1939.41284,7195.2085
1939.67065,7099.639
1939.83008,7144.71045
1939.87244,6803.47363
1939.87317,5760.175
1940.53149,7301.03271
1940.58789,7155.813
1940.759,7213.60645
1940.85132,7306.805
1940.87317,7124.993
1941.16882,7298.16748
1941.43188,7183.153
1941.66187,7205.803
1941.69592,7420.26
1941.76123,7040.63232
1942.05872,7155.877
1942.37012,7187.25537
1942.398,6974.806
1942.78052,7241.36865
1942.82373,7127.155
1942.858,6983.188
1943.169,7369.5835
1943.26111,1342.95483
1943.30737,6907.008
