Ch1 Amplitude,Ch2 Amplitude
85.04308,6584.601
92.37364,6380.092
93.84023,6563.294
97.40237,6698.391
98.3578949,6465.51
104.272705,6824.792
104.478554,6535.391
108.638069,6712.33643
109.231987,6745.94629
110.763832,6334.46
111.504265,6568.234
112.622948,6750.24951
112.73658,6520.308
113.207863,6615.821
113.36364,6524.83838
113.760391,6543.823
113.816856,6512.92773
113.918114,6553.21
115.162125,6518.05029
115.228806,6805.427
115.281174,6487.63428
115.71698,6709.533
116.424492,6468.606
116.966354,6546.897
117.587631,6644.597
118.626823,6536.80225
119.367317,6497.95264
119.690491,6385.7373
119.739693,6425.614
120.660782,6545.94043
121.1424,6519.229
121.357071,6701.193
121.564537,6433.36963
121.753067,6291.087
121.976311,6494.67
122.0767,6534.81836
122.3253,6656.75342
122.77816,6593.282
123.2711,6351.0127
123.567764,6794.074
124.180809,6527.19873
124.436195,6490.921
124.451416,6498.703
124.935196,5902.09766
125.0153,6517.66
125.522926,6292.178
125.577339,6603.36475
125.595619,6455.46533
125.644531,6511.26367
125.711937,6511.19873
125.941788,6276.621
126.064873,5414.73
126.496719,6386.705
127.385094,6587.6123
127.725792,6422.572
127.99398,6508.05371
128.972717,6489.957
130.095688,6825.947
130.494751,6680.64746
130.725357,6726.315
130.918671,6568.151
131.51059,6502.58936
131.811356,6398.227
131.885208,6485.95459
131.93486,6294.84863
131.948349,6410.4375
131.954773,6542.51172
132.2139,6727.217
132.25238,6395.271
132.389954,6644.761
133.1783,6622.981
133.25148,6573.986
133.412,5926.207
133.448456,6609.56836
133.457367,6483.5376
133.5679,6594.821
133.8404,6504.33545
134.021759,6526.30566
134.113144,6427.82129
134.140091,6440.92627
134.207672,6017.35645
134.669144,6296.59375
134.9084,6547.731
134.939819,6471.844
135.057831,6762.147
135.094971,6539.217
135.157181,6550.2124
135.192947,6517.165
135.494949,6409.831
135.559845,6438.184
135.624313,6381.5166
135.646881,6459.94141
135.728745,6554.337
135.940079,6445.686
136.093216,6665.7915
136.119659,6469.02734
136.136627,6705.627
136.550262,6531.285
136.600464,6661.913
136.619064,6389.78174
136.878052,6530.033
137.02832,6483.94043
137.057327,6513.854
137.104248,6616.7334
137.162872,6514.25732
137.333557,6471.46875
137.3848,6509.59961
137.595718,6406.475
137.740479,6446.364
137.858444,6495.77441
137.876144,6612.042
137.990677,6610.187
138.180984,6555.533
138.254959,6674.92139
138.341,6503.05957
138.506088,6438.97852
138.629547,6583.50537
138.9571,6501.139
138.9674,6541.82227
138.969589,6560.413
139.040314,6734.932
139.097885,6503.286
139.316971,6481.94336
139.456421,6461.16748
139.48204,6625.48633
139.845932,6492.291
140.107544,6791.331
140.184464,6683.834
140.552368,6319.389
140.6168,6595.704
140.629257,6473.00244
140.737228,6550.2876
140.772476,6438.136
140.899673,6528.82959
141.0561,6435.306
141.082825,6521.831
141.332626,6658.29541
141.592316,6471.574
141.695984,6521.86475
141.8871,6294.443
141.915924,6552.56055
142.167114,6661.1875
142.191467,6506.211
142.238449,6441.10449
