Ch1 Amplitude,Ch2 Amplitude
2108.55054,7376.056
2123.51147,7382.8335
2132.74316,1590.46667
2149.76855,7179.208
2151.81152,7240.555
2155.033,7301.34766
2158.957,1590.16089
2159.5957,1586.84985
2162.458,7237.96875
2167.502,1594.56506
2169.23047,7171.25244
2170.19873,1585.827
2172.62939,1603.25122
2172.933,1578.511
2173.30054,1652.11951
2173.8606,7173.437
2176.07153,7236.65234
2178.08667,7109.50342
2179.48877,1494.51636
2179.65161,1585.4574
2180.37061,1618.89319
2180.4834,7405.40234
2181.2627,1590.42542
2181.578,1605.01892
2181.96582,7259.56836
2182.69629,1600.3053
2182.78223,1589.86365
2183.25952,7275.10645
2183.4502,7319.78955
2183.72632,7112.0083
2184.17773,7061.003
2184.24023,7290.57031
2184.57275,7186.151
2184.61865,1604.14929
2184.73169,7360.489
2184.9375,7198.272
2185.468,7200.974
2186.12939,7150.20459
2186.73169,7123.198
2187.62964,1542.56018
2187.77026,1597.68835
2187.771,1533.85852
2187.92676,1586.18835
2190.03979,7097.10742
2190.447,1662.677
2190.53076,7219.69
2190.65039,1605.6261
2190.79883,7177.613
2190.822,1662.29041
2191.07715,1659.03784
2191.38745,7183.699
2191.63916,7244.204
2192.15112,1505.76147
2192.192,7140.867
2192.503,1667.52258
2192.715,7262.785
2192.72974,7112.27637
2192.73633,7501.16943
2193.07446,7098.968
2193.534,7153.973
2194.17188,7292.383
2194.39966,7222.58252
2194.48462,7006.784
2195.09546,1581.02844
2195.10767,7166.58
2195.166,5196.59766
2195.33374,7305.50049
2195.5708,7272.13037
2197.0564,7133.787
2197.40234,6557.258
2197.563,1542.0481
2197.747,7249.831
2197.82129,1559.2926
2197.92944,1678.7146
2198.06885,1525.79028
2198.29053,1481.42908
2198.52759,7222.56348
2199.07715,1530.3761
2199.21582,7254.704
2199.37329,1621.6427
2199.8335,7312.24854
2200.253,1522.33557
2200.6377,7174.219
2201.00757,1577.90283
2201.02686,7132.25537
2201.09985,7091.57568
2201.19019,1598.78674
2201.431,1609.62427
2201.64868,7226.184
2201.82275,7170.30127
2201.923,1570.76807
2202.344,1553.81885
2202.86,7258.37256
2203.09985,1641.79822
2203.61035,7344.57031
2203.62427,7303.688
2203.733,7222.37842
2204.44458,1589.7959
2204.75586,7331.10352
2204.81714,5959.15674
2205.2395,6946.37256
2205.26563,7267.92139
2205.49756,1545.46423
2205.58667,7184.20264
2206.09058,7109.306
2206.20923,1581.13635
2206.42651,7222.2793
2206.64331,1599.9657
2206.69238,7218.79834
2207.138,1626.9906
2207.23071,1562.47192
2207.65,1554.62952
2207.86816,7326.639
2207.95557,1589.1593
2207.97314,7338.83
2208.07031,6774.773
2208.34546,1608.86633
2208.74,1538.11658
2208.77051,1469.87561
2208.923,1657.86707
2208.985,6217.391
2209.12866,1662.38257
2209.16919,1577.50391
2209.46045,1607.22034
2209.71021,1590.60107
2210.05322,1541.1167
2210.05615,1581.98267
2210.40112,1649.97717
2210.445,1584.12341
2210.497,1554.59656
2210.61035,1647.57837
2211.037,7057.60547
2211.41968,1637.974
2211.65625,1544.33582
2211.852,1586.40479
2212.02319,1605.81934
2212.42676,1552.825
2212.527,1561.31482
2212.57935,1627.43408
2212.6,7165.79834
2212.62744,1629.37939
2212.70313,1626.98035
2212.75928,1591.50574
2212.81177,1601.56628
2212.96753,7168.14746
2213.10522,7419.581
2213.112,1564.131
2213.29224,1561.65112
2213.56,1484.00037
2213.61646,1628.4541
2213.70142,7283.811
2213.72461,7163.173
2213.7312,1651.575
2213.79126,4077.06763
2213.80127,1508.86682
2213.84937,1496.76721
2214.079,7334.2334
2214.09814,1595.64917
2214.107,1575.62659
2214.14771,7150.745
2214.16333,1585.5918
2214.3418,1662.394
2214.40625,1603.69214
2214.61279,1538.53186
2214.725,1541.29041
2214.754,1585.98682
2214.80225,7360.36475
2214.86426,1592.19885
2214.991,1479.71887
2215.01465,1493.4071
2215.222,1497.79077
2215.3457,1630.89844
2215.51,7150.525
2215.52637,7313.291
2215.804,1611.76465
2215.88428,1564.89
2215.92554,7146.45068
2216.22339,1646.94958
2216.289,1547.78308
2216.289,7105.9165
2216.531,6410.50244
2216.59546,1623.67627
2216.841,6360.99658
2217.12231,7227.6543
2217.405,1580.29749
2217.63623,7239.3833
2217.69214,1494.58557
2217.78174,7436.0127
2217.86548,1664.43372
2217.90454,1677.80139
2218.21021,1663.598
2218.26733,1691.6405
2218.337,1606.81775
2218.41943,1542.429
2218.52148,1552.15649
2218.56079,1535.213
2218.77734,1629.24146
2218.803,1552.16455
2218.93213,7231.05957
2219.23071,1631.36182
2219.328,1600.75037
2219.58569,1665.91443
2219.70142,7309.932
2219.74829,1560.98108
2219.942,7395.11865
2220.16064,1622.158
2220.179,1594.24927
2220.22339,1503.9884
2220.325,7396.29932
2220.42578,1559.39673
2220.52979,1608.3551
2220.535,1628.68176
2220.55078,1522.1842
2220.88232,1651.31311
2220.99585,7141.533
2221.00635,1599.47229
2221.10278,7304.90137
2221.12427,1584.69421
2221.14014,7390.89355
2221.198,1594.438
2221.27344,1608.09827
2221.35815,1490.3573
2221.42163,7393.474
2221.68823,7223.258
2221.739,1566.28015
2221.74756,1577.29382
2221.788,1630.02271
2221.9917,1641.25659
2222.11255,1568.59924
2222.24683,1630.1925
2222.25781,1629.86182
2222.29346,1536.30273
2222.35742,1575.53662
2222.657,1600.38428
2222.711,1549.1825
2222.73242,1537.59656
2222.7793,7414.339
2223.13379,7284.27539
2223.26685,1617.89441
2223.27,1638.40222
2223.40674,1585.79651
2223.40869,7220.28174
2223.42236,1740.48694
2223.4502,7297.436
2223.506,1575.675
2223.61621,1579.21631
2223.67358,1634.44409
2224.03613,1575.34216
2224.10156,1583.153
2224.11377,7461.63135
2224.1875,1568.11389
2224.232,1535.716
2224.27979,7171.357
2224.29346,6984.773
2224.46826,1538.95959
2224.503,1513.57227
2224.52246,6690.12939
2224.54321,1523.35229
2224.54419,7351.429
2224.68677,1543.19263
2225.02661,1545.93921
2225.07739,7275.70947
2225.14941,1494.01013
2225.88159,7221.6875
2225.92236,1599.82825
2225.94971,1532.56213
2226.03247,7121.27539
2226.15161,1611.38586
2226.20483,1601.49744
2226.237,1677.06079
2226.24121,1619.71985
2226.408,1541.54163
2226.55322,1550.69812
2226.55884,1601.33813
2226.671,1549.22534
2226.84424,5002.67
2226.84521,1508.07312
2226.89355,1554.54932
2226.92969,1610.64038
2226.98755,1590.48962
2227.057,1634.73547
2227.086,1605.32751
2227.10425,1538.27966
2227.13867,1576.90344
2227.37964,1586.863
2227.42041,1558.6947
2227.44165,1514.16223
2227.48657,7133.96533
2227.51172,1587.4845
2227.52539,1639.055
2227.65845,1561.27
2227.70483,7204.1665
2227.836,1628.72534
2227.91,1515.05164
2227.92944,1564.23755
2227.94531,7248.218
2227.96582,7497.1333
2227.97583,1670.55457
2228.1145,7024.47
2228.28931,1634.06116
2228.35425,7426.647
2228.3584,5371.8125
2228.38428,1529.49866
2228.38916,1628.55334
2228.42456,1632.23157
2228.45483,1584.59436
2228.52271,1509.21118
2228.541,1568.05994
2228.57324,1536.16174
2228.579,1553.9364
2228.67041,1555.2439
2228.70483,7240.581
2228.78564,1669.30127
2228.93164,1664.23889
2229.39258,7143.44971
2229.409,7395.24756
2229.42383,7223.25439
2229.436,7286.0166
2229.676,1599.09082
2229.78662,7084.896
2229.84033,1571.936
2229.95459,1621.27466
2229.98022,1579.302
2230.0686,1615.17517
2230.30786,1442.29736
2230.34351,1509.67883
2230.37573,1554.16809
2230.39282,1519.46619
2230.395,1682.01025
2230.416,1584.18542
2230.41919,1626.27991
2230.42,7316.31055
2230.45215,1614.19348
2230.549,1600.68457
2230.60132,1521.97717
2230.615,1602.78931
2230.642,1559.88806
2230.711,1579.78308
2230.758,1654.48767
2230.759,1614.81824
2230.81836,7228.50537
2230.83643,1566.91235
2230.88159,7456.751
2230.89526,1536.27832
2230.93066,1614.71826
2231.04272,1662.38025
2231.06128,1593.70508
2231.085,1560.74121
2231.09766,1547.94482
2231.16187,1671.69531
2231.206,1596.3999
2231.2146,7198.8335
2231.40649,1549.347
2231.41284,4807.796
2231.6626,7143.5083
2231.839,1627.90674
2231.85864,1588.35681
2231.86743,1500.90247
2232.04248,1528.41
2232.05713,6966.90625
2232.28638,1615.91833
2232.33154,1576.49512
2232.36523,1635.70935
2232.388,1524.47388
2232.43921,1644.96191
2232.65869,1548.88586
2232.859,1545.7804
2232.96338,1557.84619
2233.02,1593.62646
2233.06836,1507.86792
2233.21338,1592.9281
2233.28857,7325.539
2233.31372,1547.07019
2233.53931,1554.36938
2233.55322,1547.5686
2233.60229,7226.551
2233.60376,1503.30322
2233.77563,1532.35107
2233.881,1590.29211
2233.91138,1536.46118
2233.99268,1532.06848
2234.02637,7097.928
2234.11157,7573.29639
2234.13428,1556.618
2234.2063,1586.26318
2234.32275,7214.9375
2234.3855,1667.69312
2234.45386,1566.33838
2234.503,1647.69458
2234.54175,1599.33936
2234.54224,1525.97473
2234.655,1558.86975
2234.68335,1489.763
2234.692,1555.13562
2234.71045,7423.10156
2234.86963,1575.8667
2234.87256,7192.389
2234.942,1539.16785
2235.09326,1598.43872
2235.19751,1574.18665
2235.3064,1615.326
2235.41064,1621.28027
2235.445,1627.864
2235.46777,7424.39355
2235.47656,1535.86572
2235.51636,1647.9613
2235.582,7253.028
2235.63745,7606.43945
2235.64282,1524.27209
2235.70581,7190.645
2235.77783,1600.38147
2235.89282,1679.88464
2235.90845,1587.01672
2235.92114,7143.96631
2235.964,1643.85559
2235.99414,1583.89185
2236.06128,1590.42273
2236.08643,1598.39636
2236.11865,1546.76831
2236.13037,7119.841
2236.1748,1612.41748
2236.2522,1581.8916
2236.335,1627.7832
2236.36084,1630.43958
2236.40527,1569.45435
2236.468,1559.59131
2236.47046,1603.4303
2236.60474,1637.80286
2236.69043,1562.06958
2236.718,1595.07935
2236.78931,1530.702
2236.79688,1565.6189
2236.91748,1593.89355
2236.95239,7294.32129
2236.99,1606.25854
2237.072,1618.61084
2237.07446,1554.10583
2237.07666,6133.13
2237.178,1632.51709
2237.237,7238.72754
2237.281,7421.56055
2237.29053,1550.51318
2237.3562,1547.66443
2237.42,1685.53052
2237.433,1582.23059
2237.451,1636.811
2237.547,1568.71521
2237.71924,7338.69727
2237.75928,1598.19214
2237.79834,1667.01563
2237.8186,7281.101
2237.82813,1652.71558
2237.86,1512.14136
2237.91064,1651.774
2237.94629,6938.5166
2238.123,1584.18921
2238.12842,1526.06775
2238.19214,7415.79639
2238.22021,1601.03735
2238.23047,1562.60266
2238.23218,1544.46155
2238.30054,7274.245
2238.39087,1532.378
2238.39478,1591.51648
2238.41357,1680.08984
2238.41626,1595.73193
2238.50537,1621.33777
2238.52881,1510.76941
2238.56128,1631.03394
2238.57324,1548.9657
2238.657,1523.13708
2238.723,1574.13232
2238.74146,7183.91846
2238.833,1533.083
2238.83472,1573.19885
2238.86035,1656.624
2238.96851,6427.583
2238.98218,1638.45264
2239.02246,1587.30823
2239.08813,1543.01428
2239.09058,1598.51819
2239.0957,1651.218
2239.1228,1593.63013
2239.12842,1603.17578
2239.198,1630.8645
2239.23828,1531.36487
2239.253,1575.98938
2239.26416,7284.963
2239.3042,7485.86475
2239.30469,1590.713
2239.332,1539.85291
2239.351,1640.57446
2239.37427,1590.59009
2239.39136,1621.70056
2239.40381,1528.84973
2239.40942,1613.63562
2239.482,1593.71606
2239.51538,4143.18066
2239.54419,1639.81335
2239.592,1518.60669
2239.62329,7337.715
2239.66064,7230.86865
2239.70825,1548.59961
2239.85059,1516.99646
2239.865,1568.98132
2239.90137,1580.97986
2239.934,1562.5592
2239.94824,1519.12964
2239.957,1573.70728
2240.1582,1560.35571
2240.28516,1595.76685
2240.42529,1675.41211
2240.44067,1629.23669
2240.44751,1518.85376
2240.55273,1617.46924
2240.6228,1569.75635
2240.634,1476.08362
2240.66113,1632.89966
2240.72949,1615.932
2240.73267,1575.01917
2240.73828,1548.0061
2240.82617,1539.39966
2240.88745,1509.97668
2240.94,1561.26428
2240.95142,1585.18555
2240.98022,1584.7655
2240.986,1547.80652
2241.06958,7256.701
2241.07666,1596.37708
2241.08716,1650.607
2241.11523,7339.89355
2241.15723,7335.066
2241.19043,1546.02246
2241.19165,1596.31067
2241.21753,1663.40137
2241.23218,1523.49182
2241.2373,1572.96375
2241.26563,1511.99146
2241.27856,1575.30786
2241.382,1586.0885
2241.42749,1602.03247
2241.44141,1610.04431
2241.45825,1610.29944
2241.4978,1607.43616
2241.54517,1574.55469
2241.55957,1627.77563
2241.59,1529.0127
2241.64746,1619.10046
2241.68018,1527.105
2241.706,1589.641
2241.712,1566.93188
2241.718,1530.86035
2241.81152,1636.0354
2241.81885,1558.45764
2241.82886,1594.99866
2241.8728,1535.41272
2241.87524,1532.23608
2241.95532,1577.5083
2241.99756,1574.58887
2242.00659,1607.25671
2242.03467,1602.41638
2242.04736,7065.27832
2242.0564,1566.60852
2242.09058,1644.19336
2242.09985,1614.308
2242.119,1566.90149
2242.15234,6429.31738
2242.15259,1576.88257
2242.15356,1614.47888
2242.1582,1605.34631
2242.176,1522.18738
2242.22583,1652.686
2242.25586,1572.79688
2242.31836,1569.26514
2242.33716,1555.74512
2242.39819,1589.28967
2242.4104,1553.34424
2242.50122,1581.70117
2242.50586,1618.73669
2242.61841,1504.95984
2242.6626,1599.1582
2242.67334,7325.345
2242.82227,1547.04407
2242.90039,1596.44751
2242.96143,1569.66907
2243.036,1545.338
2243.05151,7424.721
2243.05664,1549.07312
2243.0835,1539.81531
2243.09253,1615.81934
2243.17432,1545.13
2243.21582,1501.48633
2243.27515,1632.86646
2243.37573,7117.272
2243.4043,1596.69861
2243.43726,1574.71924
2243.46948,1557.11328
2243.4707,1601.53857
2243.48853,1655.32336
2243.493,1650.244
2243.614,1615.464
2243.62622,1512.38782
2243.64453,1571.32129
2243.67358,1565.44983
2243.699,1638.58191
